gcr.io/google-containers/hyperkube-s390x v1.10.7 {'date': '20180820', 'ok': True, 'err': 'None', 'digest': u'sha256:cb4c882eac8c0cbe1cd7bfb432d3333ab67ec1568a03bc62f58af22780bd4493'}
gcr.io/google-containers/hyperkube-s390x v1.10.6 {'date': '20180726', 'ok': True, 'digest': u'sha256:e28a5e7ecdcc365613c17e29e239907cdda22693bc8ba4f03c9a277ff7b5add7', 'err': 'None'}
gcr.io/google-containers/hyperkube-s390x v1.6.0-beta.3 {'date': '20170731', 'ok': True, 'err': 'None', 'digest': u'sha256:d03d2619a3827459f4b7303ae1c868bffcdf15920443b939c7cf31f23b97e210'}
gcr.io/google-containers/hyperkube-s390x v1.6.0-beta.2 {'date': '20170731', 'ok': True, 'digest': u'sha256:1685f875f1d3a1261e898fb70dac59c6e8d528f8fb35306c08484a810a74a49c', 'err': 'None'}
gcr.io/google-containers/hyperkube-s390x v1.6.0-beta.1 {'date': '20170731', 'ok': True, 'err': 'None', 'digest': u'sha256:a5b157a9ea18d862d33f10d8d47e8194115abc4eba2a0024f7303eca96a461ed'}
gcr.io/google-containers/hyperkube-s390x v1.6.0-beta.0 {'date': '20170731', 'ok': True, 'digest': u'sha256:f4c86a4d75be4dd19ddaa312d4b347f1871cce6e5b70905557686c73f476629d', 'err': 'None'}
gcr.io/google-containers/hyperkube-s390x v1.8.0-alpha.2 {'date': '20170730', 'ok': True, 'err': 'None', 'digest': u'sha256:ad63d647fcbf981d6f41be962c54f3ce8454cd09528e811ef12d87a110608dd9'}
gcr.io/google-containers/hyperkube-s390x v1.12.0-alpha.0 {'date': '20180517', 'ok': True, 'err': 'None', 'digest': u'sha256:38a8cb8861bb50c0fcddc7801c1fa3527f357892f32caded46bdd41ec4916596'}
gcr.io/google-containers/hyperkube-s390x v1.10.0-rc.1 {'date': '20180320', 'ok': True, 'err': 'None', 'digest': u'sha256:e5c06eff548b892a21f2cfae0c771a3bea8248a52855627949c748b715818216'}
gcr.io/google-containers/hyperkube-s390x v1.12.3 {'date': '20181126', 'ok': True, 'digest': u'sha256:d2514360e182f71e704051a7bb5b527070e1ddb4c8e0556ba196f72337dff44d', 'err': 'None'}
gcr.io/google-containers/hyperkube-s390x v1.12.2 {'date': '20181026', 'ok': True, 'err': 'None', 'digest': u'sha256:4e85867e9cc01a3221a33cd969aebbf0eeab59dff1b9668b8ad32d36bb595e39'}
gcr.io/google-containers/hyperkube-s390x v1.12.1 {'date': '20181006', 'ok': True, 'err': 'None', 'digest': u'sha256:2d39f015d91a5f6763971ced8ed45874b2b0dbca6d5dad8a003731841ce8952f'}
gcr.io/google-containers/hyperkube-s390x v1.12.0 {'date': '20180928', 'ok': True, 'err': 'None', 'digest': u'sha256:6febefb7b9afdaf715d44b96d0cda933bbf7f6cfe4cc1fa714cd3a3bc5dabacf'}
gcr.io/google-containers/hyperkube-s390x v1.12.6 {'date': '20190226', 'ok': True, 'digest': u'sha256:7991a95b1edf963ce5e5edb492b8ed2abd6538d7fd5ba32ffc7d3781fe254409', 'err': 'None'}
gcr.io/google-containers/hyperkube-s390x v1.12.5 {'date': '20190118', 'ok': True, 'err': 'None', 'digest': u'sha256:01864a39e2468e3fd24e5920e564788252c95c84ea2ae86d1daba2d943cbea24'}
gcr.io/google-containers/hyperkube-s390x v1.12.4-beta.0 {'date': '20181126', 'ok': True, 'err': 'None', 'digest': u'sha256:0561b0fe68b481545fe66c9bb5fc255c56d69137225b64996e67b0513288c13f'}
gcr.io/google-containers/hyperkube-s390x v1.9.9-beta.0 {'date': '20180522', 'ok': True, 'digest': u'sha256:0f7d5385f46b5b21edd459a32f5e886cc04b00b6468d737426851c1f6bf9afb7', 'err': 'None'}
gcr.io/google-containers/hyperkube-s390x v1.10.2-beta.0 {'date': '20180413', 'ok': True, 'digest': u'sha256:9602ddba7c8a07cce889e33fa5bbd3245cb47ac5809163fa3edf776ec600f26e', 'err': 'None'}
